slug,title,gaggle,songwriter,words,band
"genetically-modified-organisms","Genetically Modified Organisms","Rochester","Vicki Ryder","165","wide"
"hot-flash-choose-lus","Hot Flash – Choose Lu’s","Kingston (historical)","Rose DeShaw","165","wide"
"nasty-nukes","Nasty Nukes","New Mexico","Marcy Matasick","165","wide"
"now-youve-pissed-off-grandma","Now You’ve Pissed Off Grandma","Triangle","Vicki Ryder","165","wide"
"pandemic-parody","Pandemic Parody","Tucson","Lee","165","wide"
"sourpuss-pension-song-no-sugar-from-our-pm","Sourpuss Pension Song, No Sugar from Our PM","Kingston (historical)","Rose DeShaw","165","wide"
"hey-hey-whats-going-on-anti-coal-version","Hey Hey, What’s Going On? (Anti-coal version)","Portland","Linda Schmoldt","166","wide"
"let-me-sell-guns","Let Me Sell Guns","Madison","Sara Williams","166","wide"
"our-grief-is-real","Our Grief is Real","Triangle","Vicki Ryder","166","wide"
"passing-the-torch","Passing the Torch","Tucson","Hank Tusinski (edited by Lee)","166","wide"
"climate-change-is-beyond-serious","Climate Change Is Beyond Serious","Tucson","Hank Tusinski","167","wide"
"recruiters-lie","Recruiters Lie","Rochester","Vicki Ryder","167","wide"
"we-will-stop-you-2","We Will Stop You","Green Bay","Susan Dutton","167","wide"
"all-kinds-of-sex-safely","All Kinds of Sex Safely","Kingston (historical)","Rose DeShaw","168","wide"
"anthem-of-the-1","Anthem of the 1%","New York City Metro","Nora Freeman, Pam Drake, Sunny Armer","168","wide"
"no-bloody-big-casino","No Bloody Big Casino","Kingston (historical)","Rose DeShaw","168","wide"
"noel","NOEL","Santa Fe (historical)","Marcy Matasick","168","wide"
"protest-the-anti-protest-bills","PROTEST THE ANTI-PROTEST BILLS!","Tucson","Lee Stanfield","168","wide"
"send-home-the-military","Send Home the Military!","Triangle","Vicki Ryder","168","wide"
"twelve-steps-song","Twelve Steps Song","Kingston (historical)","Rose DeShaw","168","wide"
"uranium-song","Uranium Song","Wolfville","Wolfville Grans","168","wide"
"another-side-recruiters","Another Side (Recruiters)","New Mexico","Marcy Matasick and Ruth Imber","169","wide"
"donald-leave-the-white-house-now","Donald, Leave the White House Now","Davis","Granny Carol","169","wide"
"get-outta-town-wal-mart","Get Outta Town! (Wal-Mart)","Unknown","Unlisted Songwriter","169","wide"
"oh-lord-wont-you-buy-me-an-ar-15","Oh, Lord, Won’t You Buy Me an AR-15","New Mexico","Marcy Matasick","169","wide"
"step-we-gaily","Step We Gaily","Regina (historical)","Catherine Verrall Regina, Sask grans","169","wide"
"were-all-at-risk-from-ice","We’re All At Risk From ICE","Santa Fe (historical)","Paige Grant","169","wide"
"what-do-ya-get-when-ya-reward-sociopaths","What Do Ya Get When Ya’ Reward Sociopaths?","Tucson","Lee Stanfield","169","wide"
"everlasting-hells-of-nursing-home-care","Everlasting Hells of Nursing Home Care","Kingston (historical)","Rose DeShaw","170","wide"
"no-longer-proud-to-be-an-american","NO LONGER PROUD TO BE AN AMERICAN","Tucson","Lee Stanfield","170","wide"
"pilot-program","Pilot Program","New York City Metro","Nora Freeman","170","wide"
"sixteen-tons-of-political-shit","SIXTEEN TONS OF POLITICAL SHIT!","Tucson","Lee Stanfield","170","wide"
"we-shall-take-our-country-back-from-the-maga-fascists","We Shall Take Our Country Back (from the MAGA fascists)","New Mexico","Marcy Matasick","170","wide"
"weapons-of-mass-profit","Weapons of Mass Profit","Tucson","Lee Stanfield","170","wide"
"anti-recruiter-song","Anti-Recruiter Song","Tucson","Connie Graves","171","wide"
"flint-water-atrocity","Flint Water Atrocity","New York City Metro","Nora Freeman","171","wide"
"obama-we-were-hopeful","Obama We Were Hopeful","Madison","Madison, original lyrics by Nelson","171","wide"
"save-canada","Save Canada","Wolfville","Wolfville Grans","171","wide"
"things-that-go-trump-in-the-night","Things That Go Trump In the Night","New Mexico","Marcy Matasick and Sally-Alice Thompson","171","wide"
"battle-hymn-of-the-donald","Battle Hymn of the Donald","New Mexico","Marcy Matasick","172","wide"
"border-ban-2019-update","Border Ban (2019 Update)","Fresno","Edith Johnson","172","wide"
"donald-the-delusional","DONALD THE DELUSIONAL","Tucson","Lee Stanfield","172","wide"
"ethnic-cleansing-american-style","Ethnic Cleansing American Style","New York City Metro","Nora Freeman","172","wide"
"send-home-the-marines","Send Home the Marines","Triangle","Vicki Ryder","172","wide"
"the-modern-workers-song","The Modern Workers Song","Green Bay","Garnet De Grave, Susan Dutton","172","wide"
"yea-stop-the-dakota-access-pipeline","Yea! Stop the Dakota Access Pipeline","San Francisco Bay Area","Unlisted Songwriter","172","wide"
"corporate-farm","Corporate Farm","Victoria (historical)","Victoria Grans","173","wide"
"dont-be-a-private-school-dunce","Dont be a Private School Dunce!","Kingston (historical)","Rose DeShaw","173","wide"
"say-no-to-the-bus-garage","Say NO to the Bus Garage","Rochester","Vicki Ryder","173","wide"
"you-cant-stop-the-abortion-pill","You Can’t Stop the Abortion Pill","San Francisco Bay Area","Several Grannies","173","wide"
"now-now-now-anti-gun-violence","Now! Now! Now! (Anti-gun violence)","Rochester","Peggy Dempsey and Vicki Ryder","174","wide"
"climate-change-rimas-song","Climate Change (Rima’s Song)","Rochester","Rima Segal","175","tight"
"geriatric-sex","Geriatric Sex","Victoria (historical)","Victoria Grans","175","tight"
"16-tons-of-greed","16 Tons of Greed","New York City Metro","Nora Freeman","176","tight"
"3-stooges-bp-oil-pratfalls-in-the-oil-biz","3 Stooges & BP Oil : Pratfalls in the Oil Biz","Kingston (historical)","Rose DeShaw","176","tight"
"advice-on-canadian-economy","Advice on Canadian Economy","Victoria (historical)","Victoria Grans","176","tight"
"dear-old-mother-earth","Dear Old Mother Earth","Rochester","Vicki Ryder","176","tight"
